countryName,countryEnglishName
吉里巴斯,Kiribati
肯尼亚,Kenya
哈萨克斯坦,Kazakhstan
约旦,Jordan
日本,Japan
牙买加,Jamaica
意大利,Italy
以色列,Israel
巴勒斯坦,Palestine
爱尔兰共和国,Ireland
伊拉克,Iraq
伊朗,Iran
印度尼西亚,Indonesia
印度,India
冰岛,Iceland
匈牙利,Hungary
洪都拉斯,Honduras
海地,Haiti
圭亚那,Guyana
幾內亞比索,Guinea-Bissau
几内亚,Guinea
危地马拉,Guatemala
格林纳达,Grenada
希腊,Greece
迦納,Ghana
德国,Germany
格鲁吉亚,Georgia
冈比亚,Gambia
加蓬,Gabon
法国,France
圣皮埃尔和密克隆群岛,St. Pierre and Miquelon
瓦利斯和富圖納,Wallis and Futuna Is.
法屬聖馬丁,St-Martin
聖巴泰勒米島,St-Barthélemy
法屬玻里尼西亞,Fr. Polynesia
新喀里多尼亞,New Caledonia
法属南部领地,Fr. S. Antarctic Lands
奥兰群岛,Aland
芬兰,Finland
斐濟,Fiji
埃塞俄比亚,Ethiopia
爱沙尼亚,Estonia
厄立特里亚,Eritrea
赤道几内亚,Eq. Guinea
萨尔瓦多,El Salvador
埃及,Egypt
厄瓜多尔,Ecuador
多明尼加,Dominican Rep.
多米尼克,Dominica
吉布提,Djibouti
格陵兰,Greenland
法罗群岛,Faeroe Is.
丹麦,Denmark
捷克,Czech Rep.
北賽普勒斯土耳其共和國,N. Cyprus
賽普勒斯,Cyprus
古巴,Cuba
克罗地亚,Croatia
科特迪瓦,Côte d'Ivoire
哥斯达黎加,Costa Rica
刚果民主共和国,Dem. Rep. Congo
刚果共和国,Congo
葛摩,Comoros
哥伦比亚,Colombia
中国,China
澳門,Macao
香港,Hong Kong
智利,Chile
乍得,Chad
中非共和國,Central African Rep.
佛得角,Cape Verde
加拿大,Canada
喀麦隆,Cameroon
柬埔寨,Cambodia
缅甸,Myanmar
蒲隆地,Burundi
布吉納法索,Burkina Faso
保加利亚,Bulgaria
文莱,Brunei
巴西,Brazil
波札那,Botswana
波斯尼亚和黑塞哥维那,Bosnia and Herz.
玻利維亞,Bolivia
不丹,Bhutan
贝宁,Benin
伯利兹,Belize
比利时,Belgium
白罗斯,Belarus
巴巴多斯,Barbados
孟加拉国,Bangladesh
巴林,Bahrain
巴哈马,Bahamas
阿塞拜疆,Azerbaijan
奥地利,Austria
澳大利亚,Australia
澳屬印度洋領地,Indian Ocean Ter.
赫德島和麥克唐納群島,Heard I. and McDonald Is.
诺福克岛,Norfolk Island
阿什莫尔和卡捷岛,Ashmore and Cartier Is.
亞美尼亞,Armenia
阿根廷,Argentina
安提瓜和巴布达,Antigua and Barb.
安哥拉,Angola
安道尔,Andorra
阿尔及利亚,Algeria
阿尔巴尼亚,Albania
阿富汗,Afghanistan
锡亚琴冰川,Siachen Glacier
南极洲,Antarctica
荷屬聖馬丁,Sint Maarten
