"","City","City_Admaster","City_EN","Province","Province_EN","Region","Tier"
"44","南京","南京市","Nanjing","江苏","Jiangsu","East","new Tier 1"
"45","南充","南充市","Nanchong","四川","Sichuan","West","Tier 3"
"46","南宁","南宁市","Nanning","广西","Guangxi","South","Tier 2"
"47","南平","南平市","Nanping","福建","Fujian","East","Tier 3"
"48","南昌","南昌市","Nanchang","江西","Jiangxi","South","Tier 2"
"49","南通","南通市","Nantong","江苏","Jiangsu","East","Tier 2"
"50","南阳","南阳市","Nanyang","河南","Henan","North","Tier 3"
"51","博尔塔拉","博尔塔拉蒙古自治州","Boertala","新疆","Xinjiang","West","Tier 5"
"52","厦门","厦门市","Xiamen","福建","Fujian","East","Tier 5"
"53","双鸭山","双鸭山市","Shuangyashan","黑龙江","Heilongjiang","North","Tier 5"
"54","台州","台州市","Taizhou","浙江","Zhejiang","East","Tier 2"
"55","合肥","合肥市","Hefei","安徽","Anhui","East","Tier 2"
"56","吉安","吉安市","Ji'an","江西","Jiangxi","South","Tier 5"
"57","吉林","吉林市","Jilin","吉林","Jilin","North","Tier 3"
"58","吐鲁番","吐鲁番地区","Tulufan","新疆","Xinjiang","West","Tier 5"
"59","吐鲁番","吐鲁番市","Turpan","新疆","Xinjiang","West","Tier 5"
"60","吕梁","吕梁市","Lüliang","山西","Shanxi","North","Tier 5"
"61","吴忠","吴忠市","Wuzhong","宁夏","Ningxia","West","Tier 5"
"62","周口","周口市","Zhoukou","河南","Henan","North","Tier 5"
"63","呼伦贝尔","呼伦贝尔市","Hulunbuir","内蒙古","Neimenggu","North","Tier 5"
"64","呼和浩特","呼和浩特市","Hohhot","内蒙古","Neimenggu","North","Tier 3"
"65","和田","和田地区","Hetian","新疆","Xinjiang","West","Tier 5"
"66","咸宁","咸宁市","Xianning","湖北","Hubei","West","Tier 5"
"67","咸阳","咸阳市","Xianyang","陕西","Shaanxi","West","Tier 3"
"68","哈密","哈密地区","Hami","新疆","Xinjiang","West","Tier 5"
"69","哈尔滨","哈尔滨市","Harbin","黑龙江","Heilongjiang","North","Tier 2"
"70","唐山","唐山市","Tangshan","河北","Hebei","North","Tier 3"
"71","商丘","商丘市","Shangqiu","河南","Henan","North","Tier 5"
"72","商洛","商洛市","Shangluo","陕西","Shaanxi","West","Tier 5"
"73","喀什","喀什地区","Kashen","新疆","Xinjiang","West","Tier 5"
"74","嘉兴","嘉兴市","Jiaxing","浙江","Zhejiang","East","Tier 2"
"75","嘉峪关","嘉峪关市","Jiayuguan","甘肃","Gansu","West","Tier 5"
"76","四平","四平市","Siping","吉林","Jilin","North","Tier 5"
"77","固原","固原市","Guyuan","宁夏","Ningxia","West","Tier 5"
"78","塔城","塔城地区","Tacheng","新疆","Xinjiang","West","Tier 5"
"79","大兴安岭","大兴安岭地区","Daxinganling","黑龙江","Heilongjiang","North","Tier 5"
"80","大同","大同市","Datong","山西","Shanxi","North","Tier 5"
"81","大庆","大庆市","Daqing","黑龙江","Heilongjiang","North","Tier 3"
"82","大理","大理白族自治州","Dali","云南","Yunnan","West","Tier 5"
"83","大连","大连市","Dalian","辽宁","Liaoning","North","new Tier 1"
"84","天水","天水市","Tianshui","甘肃","Gansu","West","Tier 5"
"85","天津","天津市","Tianjin","天津","Tianjin","North","new Tier 1"
"86","太原","太原市","Taiyuan","山西","Shanxi","North","Tier 2"
"87","威海","威海市","Weihai","山东","Shandong","North","Tier 3"
"88","娄底","娄底市","Loudi","湖南","Hunan","South","Tier 5"
"89","孝感","孝感市","Xiaogan","湖北","Hubei","West","Tier 3"
"90","宁德","宁德市","Ningde","福建","Fujian","East","Tier 3"
"91","宁波","宁波市","Ningbo","浙江","Zhejiang","East","new Tier 1"
"92","安庆","安庆市","Anqing","安徽","Anhui","East","Tier 5"
"93","安康","安康市","Ankang","陕西","Shaanxi","West","Tier 5"
"94","安阳","安阳市","Anyang","河南","Henan","North","Tier 5"
"95","安顺","安顺市","Anshun","贵州","Guizhou","West","Tier 5"
"96","定西","定西市","Dingxi","甘肃","Gansu","West","Tier 5"
"97","宜宾","宜宾市","Yibin","四川","Sichuan","West","Tier 5"
"98","宜昌","宜昌市","Yichang","湖北","Hubei","West","Tier 3"
"99","宜春","宜春市","Yichun","江西","Jiangxi","South","Tier 5"
"100","宝鸡","宝鸡市","Baoji","陕西","Shaanxi","West","Tier 5"
"101","宣城","宣城市","Xuancheng","安徽","Anhui","East","Tier 5"
"102","宿州","宿州市","Suzhou","安徽","Anhui","East","Tier 5"
"103","宿迁","宿迁市","Suqian","江苏","Jiangsu","East","Tier 5"
"104","山南","山南地区","Shannan","西藏","Xizang","West","Tier 5"
"105","山南","山南市","Shannan","西藏","Xizang","West","Tier 5"
"106","岳阳","岳阳市","Yueyang","湖南","Hunan","South","Tier 3"
"107","崇左","崇左市","Chongzuo","广西","Guangxi","South","Tier 5"
"108","巢湖","巢湖市","Chaohu","安徽","Anhui","East","Tier 5"
"109","巴中","巴中市","Bazhong","四川","Sichuan","West","Tier 5"
"110","巴彦淖尔","巴彦淖尔市","Bayannur","内蒙古","Neimenggu","North","Tier 5"
"111","巴音郭楞","巴音郭楞蒙古自治州","Bayinguoleng","新疆","Xinjiang","West","Tier 5"
"112","常州","常州市","Changzhou","江苏","Jiangsu","East","Tier 2"
"113","常德","常德市","Changde","湖南","Hunan","South","Tier 5"
"114","平凉","平凉市","Pingliang","甘肃","Gansu","West","Tier 5"
"115","平顶山","平顶山市","Pingdingshan","河南","Henan","North","Tier 5"
"116","广元","广元市","Guangyuan","四川","Sichuan","West","Tier 5"
"117","广安","广安市","Guang'an","四川","Sichuan","West","Tier 5"
"118","广州","广州市","Guangzhou","广东","Guangdong","South","Tier 1"
"119","庆阳","庆阳市","Qingyang","甘肃","Gansu","West","Tier 5"
"120","廊坊","廊坊市","Langfang","河北","Hebei","North","Tier 3"
"121","延安","延安市","Yan'an","陕西","Shaanxi","West","Tier 5"
"122","延边","延边朝鲜族自治州","Yanbian","吉林","Jilin","North","Tier 3"
"123","开封","开封市","Kaifeng","河南","Henan","North","Tier 5"
"124","张家口","张家口市","Zhangjiakou","河北","Hebei","North","Tier 5"
"125","张家界","张家界市","Zhangjiajie","湖南","Hunan","South","Tier 5"
"126","张掖","张掖市","Zhangye","甘肃","Gansu","West","Tier 5"
"127","徐州","徐州市","Xuzhou","江苏","Jiangsu","East","Tier 2"
"128","德宏","德宏傣族景颇族自治州","Dehong","云南","Yunnan","West","Tier 5"
"129","德州","德州市","Dezhou","山东","Shandong","North","Tier 5"
"130","德阳","德阳市","Deyang","四川","Sichuan","West","Tier 5"
"131","忻州","忻州市","Xinzhou","山西","Shanxi","North","Tier 5"
"132","怀化","怀化市","Huaihua","湖南","Hunan","South","Tier 5"
"133","怒江","怒江傈僳族自治州","Nujiang","云南","Yunnan","West","Tier 5"
"134","恩施","恩施土家族苗族自治州","Enshi","湖北","Hubei","West","Tier 5"
"135","惠州","惠州市","Huizhou","广东","Guangdong","South","Tier 2"
"136","成都","成都市","Chengdu","四川","Sichuan","West","Tier 5"
"137","扬州","扬州市","Yangzhou","江苏","Jiangsu","East","Tier 3"
"138","承德","承德市","Chengde","河北","Hebei","North","Tier 5"
"139","抚州","抚州市","Fuzhou","江西","Jiangxi","South","Tier 5"
"140","抚顺","抚顺市","Fushun","辽宁","Liaoning","North","Tier 3"
"141","拉萨","拉萨市","Lhasa","西藏","Xizang","West","Tier 5"
"142","揭阳","揭阳市","Jieyang","广东","Guangdong","South","Tier 3"
"143","攀枝花","攀枝花市","Panzhihua","四川","Sichuan","West","Tier 5"
"144","文山","文山壮族苗族自治州","Wenshan","云南","Yunnan","West","Tier 5"
"145","新乡","新乡市","Xinxiang","河南","Henan","North","Tier 5"
"146","新余","新余市","Xinyu","江西","Jiangxi","South","Tier 5"
"147","无锡","无锡市","Wuxi","江苏","Jiangsu","East","Tier 2"
"148","日喀则","日喀则地区","Rikaze","西藏","Xizang","West","Tier 5"
"149","日喀则","日喀则市","Shigatse","西藏","Xizang","West","Tier 5"
"150","日照","日照市","Rizhao","山东","Shandong","North","Tier 5"
"151","昆明","昆明市","Kunming","云南","Yunnan","West","Tier 2"
"152","昌吉","昌吉回族自治州","Changji","新疆","Xinjiang","West","Tier 5"
"153","昌都","昌都地区","Changdou","西藏","Xizang","West","Tier 5"
"154","昌都","昌都市","Chamdo","西藏","Xizang","West","Tier 5"
"155","昭通","昭通市","Zhaotong","云南","Yunnan","West","Tier 5"
"156","晋中","晋中市","Jinzhong","山西","Shanxi","North","Tier 5"
"157","晋城","晋城市","Jincheng","山西","Shanxi","North","Tier 5"
"158","普洱","普洱市","Pu'er","云南","Yunnan","West","Tier 5"
"159","景德镇","景德镇市","Jingdezhen","江西","Jiangxi","South","Tier 5"
"160","曲靖","曲靖市","Qujing","云南","Yunnan","West","Tier 5"
"161","朔州","朔州市","Shuozhou","山西","Shanxi","North","Tier 5"
"162","朝阳","朝阳市","Chaoyang","辽宁","Liaoning","North","Tier 5"
"163","本溪","本溪市","Benxi","辽宁","Liaoning","North","Tier 5"
"164","来宾","来宾市","Laibin","广西","Guangxi","South","Tier 5"
"165","杭州","杭州市","Hangzhou","浙江","Zhejiang","East","new Tier 1"
"166","松原","松原市","Songyuan","吉林","Jilin","North","Tier 5"
"167","林芝","林芝地区","Linzhi","西藏","Xizang","West","Tier 5"
"168","林芝","林芝市","Nyingchi","西藏","Xizang","West","Tier 5"
"169","果洛","果洛藏族自治州","Guoluo","青海","Qinghai","West","Tier 5"
"170","枣庄","枣庄市","Zaozhuang","山东","Shandong","North","Tier 5"
"171","柳州","柳州市","Liuzhou","广西","Guangxi","South","Tier 3"
"172","株洲","株洲市","Zhuzhou","湖南","Hunan","South","Tier 3"
"173","桂林","桂林市","Guilin","广西","Guangxi","South","Tier 3"
"174","梅州","梅州市","Meizhou","广东","Guangdong","South","Tier 5"
"175","梧州","梧州市","Wuzhou","广西","Guangxi","South","Tier 5"
"176","楚雄","楚雄彝族自治州","Chuxiong","云南","Yunnan","West","Tier 5"
"177","榆林","榆林市","Yulin","陕西","Shaanxi","West","Tier 5"
"178","武威","武威市","Wuwei","甘肃","Gansu","West","Tier 5"
"179","武汉","武汉市","Wuhan","湖北","Hubei","West","new Tier 1"
"180","毕节","毕节地区","Bijie","贵州","Guizhou","West","Tier 5"
"181","毕节","毕节市","Bijie","贵州","Guizhou","West","Tier 5"
"182","永州","永州市","Yongzhou","湖南","Hunan","South","Tier 5"
"183","汉中","汉中市","Hanzhong","陕西","Shaanxi","West","Tier 5"
"184","汕头","汕头市","Shantou","广东","Guangdong","South","Tier 3"
"185","汕尾","汕尾市","Shanwei","广东","Guangdong","South","Tier 5"
"186","江门","江门市","Jiangmen","广东","Guangdong","South","Tier 3"
"187","池州","池州市","Chizhou","安徽","Anhui","East","Tier 5"
"188","沈阳","沈阳市","Shenyang","辽宁","Liaoning","North","new Tier 1"
"189","沧州","沧州市","Cangzhou","河北","Hebei","North","Tier 3"
"190","河池","河池市","Hechi","广西","Guangxi","South","Tier 5"
"191","河源","河源市","Heyuan","广东","Guangdong","South","Tier 5"
"192","泉州","泉州市","Quanzhou","福建","Fujian","East","Tier 2"
"193","泰安","泰安市","Tai'an","山东","Shandong","North","Tier 3"
"194","泰州","泰州市","Taizhou","江苏","Jiangsu","East","Tier 3"
"195","泸州","泸州市","Luzhou","四川","Sichuan","West","Tier 5"
"196","洛阳","洛阳市","Luoyang","河南","Henan","North","Tier 3"
"197","济南","济南市","Jinan","山东","Shandong","North","Tier 2"
"198","济宁","济宁市","Jining","山东","Shandong","North","Tier 3"
"199","海东","海东地区","Haidong","青海","Qinghai","West","Tier 5"
"200","海东","海东市","Haidong","青海","Qinghai","West","Tier 5"
"201","海北","海北藏族自治州","Haibei","青海","Qinghai","West","Tier 5"
"202","海南","海南藏族自治州","Hainan","青海","Qinghai","West","Tier 5"
"203","海口","海口市","Haikou","海南","Hainan","South","Tier 2"
"204","海西","海西蒙古族藏族自治州","Haixi","青海","Qinghai","West","Tier 5"
"205","淄博","淄博市","Zibo","山东","Shandong","North","Tier 3"
"206","淮北","淮北市","Huaibei","安徽","Anhui","East","Tier 5"
"207","淮南","淮南市","Huainan","安徽","Anhui","East","Tier 5"
"208","淮安","淮南市","Huainan","江苏","Jiangsu","East","Tier 5"
"209","深圳","深圳市","Shenzhen","广东","Guangdong","South","Tier 1"
"210","清远","清远市","Qingyuan","广东","Guangdong","South","Tier 3"
"211","温州","温州市","Wenzhou","浙江","Zhejiang","East","Tier 2"
"212","渭南","渭南市","Weinan","陕西","Shaanxi","West","Tier 5"
"213","湖州","湖州市","Huzhou","浙江","Zhejiang","East","Tier 3"
"214","湘潭","湘潭市","Xiangtan","湖南","Hunan","South","Tier 5"
"215","湘西","湘西土家族苗族自治州","Xiangxi","湖南","Hunan","South","Tier 5"
"216","湛江","湛江市","Zhanjiang","广东","Guangdong","South","Tier 3"
"217","滁州","滁州市","Chuzhou","安徽","Anhui","East","Tier 5"
"218","滨州","滨州市","Binzhou","山东","Shandong","North","Tier 5"
"219","漯河","漯河市","Luohe","河南","Henan","North","Tier 5"
"220","漳州","漳州市","Zhangzhou","福建","Fujian","East","Tier 3"
"221","潍坊","潍坊市","Weifang","山东","Shandong","North","Tier 5"
"222","潮州","潮州市","Chaozhou","广东","Guangdong","South","Tier 5"
"223","濮阳","濮阳市","Puyang","河南","Henan","North","Tier 5"
"224","烟台","烟台市","Yantai","山东","Shandong","North","Tier 2"
"225","焦作","焦作市","Jiaozuo","河南","Henan","North","Tier 5"
"226","牡丹江","牡丹江市","Mudanjiang","黑龙江","Heilongjiang","North","Tier 5"
"227","玉林","玉林市","Yulin","广西","Guangxi","South","Tier 5"
"228","玉树","玉树藏族自治州","Yushu","青海","Qinghai","West","Tier 5"
"229","玉溪","玉溪市","Yuxi","云南","Yunnan","West","Tier 5"
"230","珠海","珠海市","Zhuhai","广东","Guangdong","South","Tier 2"
"231","甘南","甘南藏族自治州","Gannan","甘肃","Gansu","West","Tier 5"
"232","甘孜","甘孜藏族自治州","Ganzi","四川","Sichuan","West","Tier 5"
"233","白城","白城市","Baicheng","吉林","Jilin","North","Tier 5"
"234","白山","白山市","Baishan","吉林","Jilin","North","Tier 5"
"235","白银","白银市","Baiyin","甘肃","Gansu","West","Tier 5"
"236","百色","百色市","Baise","广西","Guangxi","South","Tier 5"
"237","益阳","益阳市","Yiyang","湖南","Hunan","South","Tier 5"
"238","盐城","盐城市","Yancheng","江苏","Jiangsu","East","Tier 3"
"239","盘锦","盘锦市","Panjin","辽宁","Liaoning","North","Tier 3"
"240","眉山","眉山市","Meishan","四川","Sichuan","West","Tier 3"
"241","石嘴山","石嘴山市","Shizuishan","宁夏","Ningxia","West","Tier 5"
"242","石家庄","石家庄市","Shijiazhuang","河北","Hebei","North","Tier 2"
"243","福州","福州市","Fuzhou","福建","Fujian","East","Tier 2"
"244","秦皇岛","秦皇岛市","Qinhuangdao","河北","Hebei","North","Tier 3"
"245","红河","红河哈尼族彝族自治州","Honghe","云南","Yunnan","West","Tier 5"
"246","绍兴","绍兴市","Shaoxing","浙江","Zhejiang","East","Tier 2"
"247","绥化","绥化市","Suihua","黑龙江","Heilongjiang","North","Tier 5"
"248","绵阳","绵阳市","Mianyang","四川","Sichuan","West","Tier 3"
"249","聊城","聊城市","Liaocheng","山东","Shandong","North","Tier 5"
"250","肇庆","肇庆市","Zhaoqing","广东","Guangdong","South","Tier 3"
"251","自贡","自贡市","Zigong","四川","Sichuan","West","Tier 5"
"252","舟山","舟山市","Zhoushan","浙江","Zhejiang","East","Tier 3"
"253","芜湖","芜湖市","Wuhu","安徽","Anhui","East","Tier 3"
"254","苏州","苏州市","Suzhou","江苏","Jiangsu","East","new Tier 1"
"255","茂名","茂名市","Maoming","广东","Guangdong","South","Tier 5"
"256","荆州","荆州市","Jingzhou","湖北","Hubei","West","Tier 3"
"257","荆门","荆门市","Jingmen","湖北","Hubei","West","Tier 5"
"258","莆田","莆田市","Putian","福建","Fujian","East","Tier 3"
"259","莱芜","莱芜市","Laiwu","山东","Shandong","North","Tier 5"
"260","菏泽","菏泽市","Heze","山东","Shandong","North","Tier 5"
"261","萍乡","萍乡市","Pingxiang","江西","Jiangxi","South","Tier 5"
"262","营口","营口市","Yingkou","辽宁","Liaoning","North","Tier 3"
"263","葫芦岛","葫芦岛市","Huludao","辽宁","Liaoning","North","Tier 5"
"264","蚌埠","蚌埠市","Bengbu","安徽","Anhui","East","Tier 3"
"265","衡水","衡水市","Hengshui","河北","Hebei","North","Tier 5"
"266","衡阳","衡阳市","Hengyang","湖南","Hunan","South","Tier 3"
"267","衢州","衢州市","Quzhou","浙江","Zhejiang","East","Tier 3"
"268","襄樊","襄樊市","Xiangfan","湖北","Hubei","West","Tier 5"
"269","西双版纳","西双版纳傣族自治州","Xishuangbanna","云南","Yunnan","West","Tier 5"
"270","西宁","西宁市","Xining","青海","Qinghai","West","Tier 3"
"271","西安","西安市","Xi'an","陕西","Shaanxi","West","new Tier 1"
"272","许昌","许昌市","Xuchang","河南","Henan","North","Tier 5"
"273","贵港","贵港市","Guigang","广西","Guangxi","South","Tier 5"
"274","贵阳","贵阳市","Guiyang","贵州","Guizhou","West","Tier 2"
"275","贺州","贺州市","Hezhou","广西","Guangxi","South","Tier 5"
"276","资阳","资阳市","Ziyang","四川","Sichuan","West","Tier 5"
"277","赣州","赣州市","Ganzhou","江西","Jiangxi","South","Tier 3"
"278","赤峰","赤峰市","Chifeng","内蒙古","Neimenggu","North","Tier 5"
"279","辽源","辽源市","Liaoyuan","吉林","Jilin","North","Tier 5"
"280","辽阳","辽阳市","Liaoyang","辽宁","Liaoning","North","Tier 5"
"281","达州","达州市","Dazhou","四川","Sichuan","West","Tier 5"
"282","运城","运城市","Yuncheng","山西","Shanxi","North","Tier 5"
"283","连云港","连云港市","Lianyungang","江苏","Jiangsu","East","Tier 3"
"284","迪庆","迪庆藏族自治州","Diqing","云南","Yunnan","West","Tier 5"
"285","通化","通化市","Tonghua","吉林","Jilin","North","Tier 5"
"286","通辽","通辽市","Tongliao","内蒙古","Neimenggu","North","Tier 5"
"287","遂宁","遂宁市","Suining","四川","Sichuan","West","Tier 5"
"288","遵义","遵义市","Zunyi","贵州","Guizhou","West","Tier 5"
"289","邢台","邢台市","Xingtai","河北","Hebei","North","Tier 5"
"290","那曲","那曲地区","Naqu","西藏","Xizang","West","Tier 5"
"291","邯郸","邯郸市","Handan","河北","Hebei","North","Tier 3"
"292","邵阳","邵阳市","Shaoyang","湖南","Hunan","South","Tier 5"
"293","郑州","郑州市","Zhengzhou","河南","Henan","North","new Tier 1"
"294","郴州","郴州市","Chenzhou","湖南","Hunan","South","Tier 5"
"295","鄂尔多斯","鄂尔多斯市","Ordos","内蒙古","Neimenggu","North","Tier 5"
"296","鄂州","鄂州市","Ezhou","湖北","Hubei","West","Tier 5"
"297","酒泉","酒泉市","Jiuquan","甘肃","Gansu","West","Tier 5"
"298","重庆","重庆市","Chongqing","重庆","Chongqing","West","new Tier 1"
"299","金华","金华市","Jinhua","浙江","Zhejiang","East","Tier 2"
"300","金昌","金昌市","Jinchang","甘肃","Gansu","West","Tier 5"
"301","钦州","钦州市","Qinzhou","广西","Guangxi","South","Tier 5"
"302","铁岭","铁岭市","Tieling","辽宁","Liaoning","North","Tier 5"
"303","铜仁","铜仁地区","Tongren","贵州","Guizhou","West","Tier 5"
"304","铜仁","铜仁市","Tongren","贵州","Guizhou","West","Tier 5"
"305","铜川","铜川市","Tongchuan","陕西","Shaanxi","West","Tier 5"
"306","铜陵","铜陵市","Tongling","安徽","Anhui","East","Tier 5"
"307","银川","银川市","Yinchuan","宁夏","Ningxia","West","Tier 3"
"308","锡林郭勒","锡林郭勒盟","Linguolexi","内蒙古","Neimenggu","North","Tier 5"
"309","锦州","锦州市","Jinzhou","辽宁","Liaoning","North","Tier 5"
"310","镇江","镇江市","Zhenjiang","江苏","Jiangsu","East","Tier 3"
"311","长春","长春市","Changchun","吉林","Jilin","North","Tier 2"
"312","长沙","长沙市","Changsha","湖南","Hunan","South","new Tier 1"
"313","长治","长治市","Changzhi","山西","Shanxi","North","Tier 5"
"314","阜新","阜新市","Fuxin","辽宁","Liaoning","North","Tier 5"
"315","阜阳","阜阳市","Fuyang","安徽","Anhui","East","Tier 5"
"316","防城港","防城港市","Fangchenggang","广西","Guangxi","South","Tier 5"
"317","阳江","阳江市","Yangjiang","广东","Guangdong","South","Tier 5"
"318","阳泉","阳泉市","Yangquan","山西","Shanxi","North","Tier 5"
"319","阿克苏","阿克苏地区","Akesu","新疆","Xinjiang","West","Tier 5"
"320","阿勒泰","阿勒泰地区","Aletai","新疆","Xinjiang","West","Tier 5"
"321","阿坝","阿坝藏族羌族自治州","Aba","四川","Sichuan","West","Tier 5"
"322","阿拉善盟","阿拉善盟","Alashanmeng","内蒙古","Neimenggu","North","Tier 5"
"323","阿里","阿里地区","Ali","西藏","Xizang","West","Tier 5"
"324","陇南","陇南市","Longnan","甘肃","Gansu","West","Tier 5"
"325","随州","随州市","Suizhou","湖北","Hubei","West","Tier 5"
"326","雅安","雅安市","Ya'an","四川","Sichuan","West","Tier 5"
"327","青岛","青岛市","Qingdao","山东","Shandong","North","new Tier 1"
"328","鞍山","鞍山市","Anshan","辽宁","Liaoning","North","Tier 3"
"329","韶关","韶关市","Shaoguan","广东","Guangdong","South","Tier 5"
"330","马鞍山","马鞍山市","Ma'anshan","安徽","Anhui","East","Tier 3"
"331","驻马店","驻马店市","Zhumadian","河南","Henan","North","Tier 5"
"332","鸡西","鸡西市","Jixi","黑龙江","Heilongjiang","North","Tier 5"
"333","鹤壁","鹤壁市","Hebi","河南","Henan","North","Tier 5"
"334","鹤岗","鹤岗市","Hegang","黑龙江","Heilongjiang","North","Tier 5"
"335","鹰潭","鹰潭市","Yingtan","江西","Jiangxi","South","Tier 5"
"336","黄冈","黄冈市","Huanggang","湖北","Hubei","West","Tier 5"
"337","黄南","黄南藏族自治州","Huangnan","青海","Qinghai","West","Tier 5"
"338","黄山","黄山市","Huangshan","安徽","Anhui","East","Tier 5"
"339","黄石","黄石市","Huangshi","湖北","Hubei","West","Tier 5"
"340","黑河","黑河市","Heihe","黑龙江","Heilongjiang","North","Tier 5"
"341","黔东南","黔东南苗族侗族自治州","Qiandongnan","贵州","Guizhou","West","Tier 5"
"342","黔南","黔南布依族苗族自治州","Qiannan","贵州","Guizhou","West","Tier 5"
"343","黔西南","黔西南布依族苗族自治州","Qianxinan","贵州","Guizhou","West","Tier 5"
"344","齐齐哈尔","齐齐哈尔市","Qiqihar","黑龙江","Heilongjiang","North","Tier 3"
"345","龙岩","龙岩市","Longyan","福建","Fujian","East","Tier 3"
"346","香港","香港特别行政区","Hong Kong","香港","Hong Kong","South","Unknown"
"347","澳门","澳门特别行政区","Macau","澳门","Macau","South","Unknown"
"348","台湾","台湾省","Taiwan","台湾","Taiwan","East","Unknown"
